"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.745207875E0;5.769447684E-3;4.221221924E-2;1.267091632E-2;4.444896062E-2
2.755216875E0;-1.268407255E-2;5.179054320E-2;-4.003296196E-2;6.667671336E-2
2.765226875E0;-1.008644700E-2;7.095245361E-2;-5.923229456E-2;9.297554413E-2
2.775266875E0;-1.221980363E-2;4.461074710E-2;-5.683142781E-2;7.327519051E-2
2.785276875E0;1.642190516E-3;3.263915777E-2;-1.360471666E-2;3.539914865E-2
2.795286875E0;-2.067926288E-2;4.925460577E-2;4.102231085E-2;6.735338217E-2
2.805296875E0;-2.665774852E-2;1.812169075E-2;-3.569315851E-2;4.809399958E-2
2.815336875E0;-5.913581550E-3;2.305966437E-2;1.232593060E-2;2.680759468E-2
2.825346875E0;-8.856777549E-3;1.572140872E-2;4.801148772E-2;5.129042946E-2
2.835355875E0;-1.081939548E-2;3.727658451E-2;7.337086201E-3;3.950235316E-2
2.845396875E0;-1.294310421E-2;2.784210205E-2;-1.629560530E-2;3.475993880E-2
2.855406875E0;-3.283503950E-3;3.262512445E-2;-4.219467759E-2;5.343754262E-2
2.865415875E0;1.130705327E-2;4.234787464E-2;-7.793169022E-2;8.941219313E-2
2.875456875E0;-1.656165361E-2;5.641276717E-2;1.240486801E-2;6.008801395E-2
2.885465875E0;-3.115104139E-3;5.880252421E-2;5.819324434E-2;8.278825046E-2
2.895475875E0;-1.110737085E-2;2.302048802E-2;-4.238822043E-2;4.949826045E-2
2.905515875E0;-3.157350272E-2;4.936219454E-2;-1.432199460E-1;1.547432236E-1
2.915525875E0;-3.275668681E-2;7.540627778E-2;9.585925341E-2;1.262858017E-1
2.925535875E0;1.566819906E-2;3.723389983E-2;2.401094788E-1;2.434839165E-1
